学期,曜日,時限,開講学部,備考,科目名,担当教員,キャンパス,教室名,科目区分,単位,状態/希望順位
春学期,月,２,日本語,￥(要聴講料等)### ###,日本の良さを知る：「伝統文化を学ぼう！」知識編４－８　（留学生対象日本語科目）,森下　雅子,早稲田,２２－２０１,日本語,1,"決定  ###
###"
春学期,月,３,日本語,￥(要聴講料等)### ###,ロールプレイによる話し方５　（留学生対象日本語科目）,中込　明子,早稲田,２２－５０８,日本語,1,"決定  ###
###"
春学期,月,４,日本語,￥(要聴講料等)### ###,会話から発表へ５－６　（留学生対象日本語科目）,中込　明子,早稲田,２２－５０８,日本語,1,"決定  ###
###"
春学期,月,５,日本語,￥(要聴講料等)### ###,ニュースや解説を見て内容を書く５　（留学生対象日本語科目）,中沢　佐企子,早稲田,２２－２０８,日本語,1,"決定  ###
###"
春学期,火,２,国際教養,### ###,Programming for Social and Cultural Data Analysis 01,シャルロート　ヨアヒム,早稲田,２２－２０１,講義・中上級科目,2,"決定  ###
###"
春学期,水###水###,１###２###,国際教養,### ###,Advanced Computer Programming　01,トロヴァト　ガブリエレ,早稲田,１１－６１０（第４マルチメディア教室）###１１－６１０（第４マルチメディア教室）###,講義・中上級科目,4,"決定  ###
###"
春学期,水,５,日本語,￥(要聴講料等)### ###,商品開発企画プロジェクト４－５　（留学生対象日本語科目）,今井　なをみ,早稲田,１４－６０３（教育実験室）,日本語,1,"決定  ###
###"
春学期,木,２,グローバル,### ### ######,フットサル　基礎　０２,須田　芳正,喜久井町,喜久井町グラウンド,講義・他学部科目・体育,1,"決定  ###
###"
春学期,木,３,日本語,￥(要聴講料等)### ###,社会人基礎力をつける５－８　（留学生対象日本語科目）,木下　直子,早稲田,１４－６１４,日本語,1,"決定  ###
###"
春学期,木,４,国際教養,### ###,Computerized Society　01,トロヴァト　ガブリエレ,早稲田,１１－５０３,講義・中上級科目,2,"決定  ###
###"
